scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.74975,0,2.74975,0,0,0,0,0.511,0.2666,0,51%,2.7,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_only,2.8092,0.77615,2.03305,0,0,0,0,0.43075,0.17895,0.27628862309554336,43%,2,28%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
hh_quaratine_only,2.79315,0.93711,1.85604,2,2.1,0,4,0.39005,0.1656,0.3355029268030718,39%,1.8,34%,2 (0-4),9400,1900,380,0,4,0.95,0.53,0.6,0.5,0
hh_work_only,2.79365,1.37266,1.42099,13.5,30,1,111,0.3154,0.11985,0.49135002595171196,32%,1.4,49%,14 (1-110),140000,27000,5400,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only,2.7704,1.45616,1.31424,21,35,1,112,0.2985,0.1095,0.5256136298007508,30%,1.3,53%,21 (1-110),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_limit,2.7785,1.6414,1.1371,17,32,1,107,0.2561,0.08045,0.5907504048947274,26%,1.1,59%,17 (1-110),140000,29000,5800,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing,2.7631,1.58228,1.18082,29,45,1,139.049999999999,0.25745,0.09605,0.5726466649777424,26%,1.2,57%,29 (1-140),200000,40000,8100,0,4,0.95,0.53,0.6,0.5,0
cell_phone,2.77665,1.17335,1.6033,4,17,1,68,0.34325,0.13395,0.42257756649199574,34%,1.6,42%,4 (1-68),76000,15000,3100,0,4,0.95,0.53,0.6,0.5,0
cell_phone_met_limit,2.7654,1.3751,1.3903,4,14,1,53.0499999999993,0.30155,0.10725,0.49725175381499964,30%,1.4,50%,4 (1-53),63000,13000,2500,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell,2.78465,1.53453,1.25012,25,41,1,129,0.2744,0.1016,0.5510674591061714,27%,1.2,55%,25 (1-130),180000,37000,7400,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.8267,1.77858,1.04812,21,35,1,113.049999999999,0.238,0.0749,0.6292072027452507,24%,1,63%,21 (1-110),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
pop_testing,2.75355,0.0548,2.69875,0,0,0,0,0.5024,0.2556,0.019901581594668816,50%,2.7,2%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_outside,2.8183,0.87995,1.93835,0,0,0,0,0.405,0.1736,0.3122272291807118,40%,1.9,31%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
