scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.5854,0,2.5854,0,0,0,0,0.5564,0.24365,0,56%,2.6,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_only,2.54645,0.54465,2.0018,0,0,0,0,0.4865,0.16365,0.21388599815429332,49%,2,21%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
hh_quaratine_only,2.56355,0.96815,1.5954,2,2.1,0,4,0.37935,0.12825,0.37765988570536957,38%,1.6,38%,2 (0-4),9400,1900,380,0,4,0.95,0.53,0.6,0.5,0
hh_work_only,2.5526,1.2541,1.2985,14,30,1,110,0.3141,0.0931,0.49130298519156934,31%,1.3,49%,14 (1-110),140000,27000,5400,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only,2.59565,1.35382,1.24183,21,36,1,113,0.29865,0.0896,0.5215726311328569,30%,1.2,52%,21 (1-110),160000,32000,6500,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_limit,2.57765,1.50645,1.0712,17,32,1,107,0.25985,0.06815,0.5844276763718892,26%,1.1,58%,17 (1-110),140000,29000,5800,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing,2.5821,1.47376,1.10834,29,46,1,143,0.2671,0.0785,0.5707602339181286,27%,1.1,57%,29 (1-140),210000,41000,8300,0,4,0.95,0.53,0.6,0.5,0
cell_phone,2.52515,1.12035,1.4048,4,17,1,70,0.32805,0.10595,0.4436766132704988,33%,1.4,44%,4 (1-70),76000,15000,3100,0,4,0.95,0.53,0.6,0.5,0
cell_phone_met_limit,2.50465,1.2764,1.22825,4,14,1,53,0.29045,0.0815,0.5096121214540954,29%,1.3,51%,4 (1-53),63000,13000,2500,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell,2.54765,1.38234,1.16531,25,40,1,130,0.2779,0.08235,0.542594155398112,28%,1.2,54%,25 (1-130),180000,36000,7200,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.5772,1.54482,1.03238,21,35,1,117,0.2511,0.06495,0.5994179729939468,25%,1,60%,21 (1-120),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
pop_testing,2.55885,0.0399,2.51895,0,0,0,0,0.54555,0.2375,0.015592942141977928,55%,2.5,1.6%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_outside,2.5816,0.7829,1.7987,0,0,0,0,0.419,0.146,0.3032615432290052,42%,1.8,30%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
