scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
no_measures,2.44325,0,2.44325,0,0,0,0,0.48135,0.2282,0,48%,2.4,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_only,2.4346,1.0324,1.4022,0,0,0,0,0.32765,0.09895,0.42405323256387095,33%,1.4,42%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
hh_quaratine_only,2.45175,1.19715,1.2546,2,2.1,0,4,0.28395,0.09225,0.4882838788620374,28%,1.3,49%,2 (0-4),9400,1900,380,0,4,0.95,0.53,0.6,0.5,0
hh_work_only,2.495,1.40355,1.09145,14,31,1,114,0.23725,0.081,0.5625450901803608,24%,1.1,56%,14 (1-110),140000,28000,5600,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only,2.43715,1.40155,1.0356,21,35,1,115,0.22225,0.0764,0.5750774470180333,22%,1,58%,21 (1-120),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_limit,2.45055,1.55885,0.8917,17,32,1,104,0.1938,0.05995,0.6361225031115463,19%,0.89,64%,17 (1-100),140000,29000,5800,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing,2.423,1.4691,0.9539,29,45,1,142,0.20495,0.074,0.6063144861741643,20%,0.96,61%,29 (1-140),200000,40000,8100,0,4,0.95,0.53,0.6,0.5,0
cell_phone,2.48565,1.30685,1.1788,4,17,1,70,0.2627,0.08715,0.5257578500593406,26%,1.2,53%,4 (1-70),76000,15000,3100,0,4,0.95,0.53,0.6,0.5,0
cell_phone_met_limit,2.43095,1.43395,0.997,4,14,1,52,0.2201,0.06795,0.5898722721569757,22%,1,59%,4 (1-52),63000,13000,2500,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell,2.4254,1.4296,0.9958,25,40,1,130,0.2124,0.07325,0.5894285478683927,21%,1,59%,25 (1-130),180000,36000,7200,0,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_only_cell_met_limit,2.42195,1.56845,0.8535,21,35,1,110,0.1861,0.0567,0.6475980098680815,19%,0.86,65%,21 (1-110),160000,32000,6300,0,4,0.95,0.53,0.6,0.5,0
pop_testing,2.42105,0.04425,2.3768,0,0,0,0,0.47045,0.22445,0.01827719377955861,47%,2.4,1.8%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
isolation_outside,2.44395,1.1768,1.26715,0,0,0,0,0.2856,0.09225,0.48151557928762867,29%,1.3,48%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5,0
