V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
38,38,0,0,0,0,0,0,0,0,0,0,0,0
2.4533,2.4533,2.6973,2.6973,2.6973,2.6973,2.6973,2.6973,2.6973,2.6973,2.6973,2.6973,2.6973,2.6973
35.3325,35.3325,3.7356,3.7356,3.7356,3.7356,3.7356,3.7356,3.7356,3.7356,3.7356,3.7356,3.7356,3.7356
42.8828,42.8828,3.8958,3.8958,3.8958,3.8958,3.8958,3.8958,3.8958,3.8958,3.8958,3.8958,3.8958,3.8958
14.343,14.343,2.7236,2.7236,2.7236,2.7236,2.7236,2.7236,2.7236,2.7236,2.7236,2.7236,2.7236,2.7236
