V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
38,38,0,0,0,0,0,0,0,0,0,0,0,0
2.4469,2.4469,2.4469,2.4469,2.4469,2.4469,2.4469,2.4469,2.4469,2.4469,2.4469,2.4469,2.4469,2.4469
36.1575,36.1575,36.1575,36.1575,36.1575,36.1575,36.1575,36.1575,36.1575,36.1575,36.1575,36.1575,36.1575,36.1575
43.0087,43.0087,43.0087,43.0087,43.0087,43.0087,43.0087,43.0087,43.0087,43.0087,43.0087,43.0087,43.0087,43.0087
14.967,14.967,14.967,14.967,14.967,14.967,14.967,14.967,14.967,14.967,14.967,14.967,14.967,14.967
