V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
38,38,0,0,0,0,0,0,0,0,0,0,0,0
2.4306,2.4306,2.4306,2.4306,2.4306,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685
34.8246,34.8246,34.8246,34.8246,34.8246,3.6507,3.6507,3.6507,3.6507,3.6507,3.6507,3.6507,3.6507,3.6507
43.3776,43.3776,43.3776,43.3776,43.3776,3.9282,3.9282,3.9282,3.9282,3.9282,3.9282,3.9282,3.9282,3.9282
14.2639,14.2639,14.2639,14.2639,14.2639,2.7288,2.7288,2.7288,2.7288,2.7288,2.7288,2.7288,2.7288,2.7288
