rr,rr_reduced,total_traced,inf_p
4,0.20000000000000018,48,4
1,0,2,3
0,0,8,3
2,1,79,5
2,0,10,5
1,0,2,1
5,0,37,2
0,0,43,5
0,0,6,5
14,4.2,161,4
1,0,10,4
1,1,11,5
0,0,12,5
0,0,21,4
1,1,16,5
1,0,7,4
1,0.19999999999999996,2,4
0,0,6,5
6,0,18,1
0,0,12,2
2,0,28,2
3,0,18,5
2,2,19,5
0,0,3,5
0,0,20,5
12,10,159,5
0,0,2,4
12,1,96,3
0,0,23,5
6,6,148,5
1,0,9,1
0,0,12,2
6,6,223,5
2,0.19999999999999996,22,4
0,0,9,5
1,0,3,2
0,0,7,5
8,0,111,1
4,0,59,2
2,2,56,5
3,0,43,4
5,0,57,1
0,0,1,1
3,1,23,3
0,0,10,5
2,0,5,3
1,1,30,5
2,1,41,1
1,1,53,5
0,0,6,4
0,0,40,5
0,0,6,5
6,5,115,5
1,0,23,2
0,0,3,3
4,4,43,5
1,1,2,5
0,0,9,5
1,1,3,5
3,1,81,4
2,0,49,1
0,0,0,5
1,1,18,5
6,2.2,62,4
5,2,25,5
0,0,3,5
0,0,5,1
0,0,5,5
8,2,109,3
4,1,42,2
12,0,103,4
1,1,7,5
0,0,15,3
6,1,52,4
0,0,5,3
2,0,57,1
4,0,14,5
2,2,32,5
1,0,10,3
2,2,59,5
1,1,3,5
9,0,99,1
1,1,21,5
3,0,47,3
1,1,3,5
0,0,10,5
2,0,37,2
17,5,90,5
4,0,36,2
4,1,44,4
1,1,19,5
0,0,20,1
0,0,1,5
0,0,1,5
2,0,13,2
1,0,16,3
4,4,82,5
1,0,1,2
4,0,25,5
1,0,50,4
2,0,19,1
7,1,93,4
3,0,55,3
1,0,8,2
0,0,8,5
0,0,36,5
9,1,98,3
1,0,11,1
3,1,8,4
5,5,60,5
0,0,17,5
5,4,62,5
0,0,9,5
4,4,50,5
4,4,84,5
1,1,23,5
0,0,2,5
3,0,13,2
3,1,51,1
0,0,1,5
1,1,21,5
4,4,57,5
2,0,9,1
4,3,50,5
0,0,1,2
0,0,9,5
1,0,11,4
6,0,98,1
3,0,16,1
6,6,164,5
0,0,1,5
1,1,6,5
0,0,17,5
0,0,3,4
1,0,3,4
3,0,62,1
1,1,4,5
2,2,35,5
0,0,39,5
1,1,24,5
3,0,25,4
2,2,44,5
1,1,12,5
4,1,55,4
0,0,2,5
0,0,23,1
5,0,9,3
3,3,59,5
1,0,13,4
2,0,11,1
8,8,157,5
0,0,6,5
2,2,51,4
0,0,45,1
2,0,16,3
1,0,15,1
1,1,10,5
0,0,1,5
0,0,23,5
0,0,4,5
2,2,38,5
2,2,23,5
1,0,11,3
3,3,50,5
1,1,17,5
0,0,21,2
0,0,2,1
1,0,37,2
1,0,28,2
1,1,28,2
1,1,47,5
2,0,7,3
1,1,48,5
0,0,22,5
1,1,8,5
1,0,23,2
3,3,113,5
5,0,54,1
0,0,6,5
0,0,3,5
0,0,8,5
2,2,71,5
2,2,34,5
4,0,53,2
5,0,46,2
8,1.2000000000000002,67,4
0,0,3,5
0,0,40,5
2,1,17,1
1,1,14,5
9,9,142,5
1,0,14,2
15,15,192,5
0,0,8,5
0,0,51,5
1,1,36,5
0,0,2,5
0,0,21,1
14,1,169,2
13,2,206,3
3,0,114,1
0,0,7,4
4,4,57,5
4,4,65,5
2,0,47,1
0,0,15,5
0,0,23,5
3,3,38,5
2,0,24,5
9,0,87,4
4,2,86,5
1,1,6,5
1,1,27,1
0,0,11,3
8,1,68,4
1,0,22,1
3,0,43,4
4,0,110,1
0,0,43,5
2,2,21,5
1,1,25,3
3,3,37,5
3,1,35,1
0,0,21,5
0,0,2,2
1,1,3,5
3,1,14,4
2,2,42,5
1,1,18,5
3,3,41,5
0,0,6,5
5,0,66,1
3,0,42,1
5,1,38,2
0,0,34,5
1,1,6,5
2,2,29,5
2,0,7,4
0,0,25,5
5,5,69,5
0,0,15,5
1,0,34,3
1,1,12,5
1,1,40,2
3,0.19999999999999996,17,4
7,1,42,2
1,0,4,1
1,1,22,5
5,0,26,3
2,2,7,5
0,0,8,1
0,0,0,3
2,0,35,4
5,0,57,3
3,0,56,2
3,2,19,4
3,2,30,4
0,0,3,5
0,0,1,2
3,1,79,3
0,0,0,5
2,2,11,5
0,0,1,4
0,0,23,5
8,0,23,2
5,4,164,5
8,3,42,5
0,0,15,5
0,0,32,5
12,12,142,5
2,0,14,2
2,2,22,5
0,0,13,5
2,0,11,3
5,5,116,5
1,0,7,4
2,2,35,2
0,0,8,5
2,1,20,5
0,0,53,5
2,0,20,4
2,0,16,2
13,0,130,1
1,1,10,5
4,0,36,3
5,3,69,3
2,2,31,5
4,4,36,5
1,1,20,5
1,1,10,5
1,1,10,5
0,0,9,5
2,1,14,5
4,4,72,5
4,0,12,5
3,0,30,2
5,0,26,4
2,2,16,5
5,0,11,3
2,2,16,5
1,1,2,5
2,2,34,5
2,0,36,4
3,0,15,1
2,2,44,5
1,1,26,5
0,0,10,2
2,0,8,2
8,0,64,1
0,0,19,1
1,0,33,2
1,0,3,3
1,1,3,5
3,0.20000000000000018,18,4
7,3,13,5
2,2,60,5
4,1,7,5
2,2,76,5
0,0,37,5
8,0,11,3
14,1.2,30,4
0,0,3,3
11,2,19,5
0,0,5,3
1,1,3,5
1,0,33,3
4,0,77,1
4,0.3999999999999999,51,4
3,0,20,1
2,2,78,5
1,0,17,5
0,0,17,5
1,0,23,1
2,2,24,5
0,0,2,5
2,2,42,5
1,1,43,5
9,2,32,1
1,1,22,5
7,3,69,3
0,0,3,5
1,0,6,4
4,2,14,5
2,0,2,2
5,1,23,2
2,2,22,5
0,0,6,5
1,1,12,5
0,0,2,2
1,1,11,5
1,0,41,1
5,0,34,2
3,1,11,3
1,0,21,2
0,0,5,1
2,2,3,5
2,1,8,4
0,0,6,5
0,0,6,5
1,1,25,5
3,0,60,3
2,0,19,2
1,1,25,5
0,0,1,3
3,1,22,4
3,0,35,3
1,0,3,4
5,0,26,5
2,0,25,1
1,0,8,4
0,0,10,5
0,0,52,5
2,2,29,5
10,10,166,5
2,0,18,4
3,0,44,4
1,1,2,5
1,0,34,1
1,0,22,5
0,0,1,3
3,0.19999999999999996,27,4
2,1,8,2
1,1,26,5
0,0,64,5
1,0,8,1
0,0,2,2
3,0,22,4
2,0,36,2
6,4,113,5
0,0,3,4
0,0,21,5
3,3,96,5
0,0,9,5
1,0,9,2
1,0,2,1
0,0,10,2
0,0,53,5
0,0,12,5
2,2,3,5
0,0,18,5
0,0,6,5
11,1,138,4
0,0,3,5
0,0,25,5
4,4,69,5
15,1,83,1
0,0,2,5
4,0,73,2
0,0,24,4
0,0,0,4
1,1,30,5
2,2,72,5
3,0,7,3
1,0,8,4
0,0,5,2
0,0,8,5
2,1,12,5
7,0,38,2
0,0,26,5
2,0.19999999999999996,13,4
0,0,1,5
2,1,33,5
2,1,22,3
0,0,15,2
1,0,1,1
1,0,14,1
1,1,5,5
6,6,33,5
2,1,15,2
3,0,33,1
10,2,129,3
2,1,25,5
4,2,37,5
2,0,15,3
2,2,17,5
9,0,17,3
0,0,20,5
5,1,53,4
2,2,26,5
0,0,3,5
1,1,10,5
2,0,25,1
6,0,56,1
3,1,27,5
3,2,22,4
2,2,21,5
1,1,8,5
0,0,16,4
1,1,8,5
1,1,1,5
1,1,34,5
3,2.2,13,4
1,0,11,1
1,0,21,2
1,0,13,1
2,0,16,3
2,0,19,2
3,0,113,5
4,0,60,1
2,0,21,1
0,0,4,5
0,0,11,1
0,0,22,5
3,0,22,4
1,0,29,1
0,0,3,2
2,0,3,1
2,0,51,5
5,0,84,1
2,0,26,2
1,0,26,3
3,1,31,3
0,0,4,5
1,1,39,5
1,1,43,5
4,1,33,5
2,1,38,3
1,1,11,5
1,1,20,5
3,3,31,5
1,1,9,5
1,1,12,5
0,0,21,5
2,2,4,5
1,1,8,5
0,0,10,2
0,0,1,2
3,2,20,5
2,0,19,4
5,0,9,4
1,0,14,2
0,0,0,5
11,0,43,1
3,1,18,1
3,3,54,5
3,3,3,5
0,0,31,5
0,0,2,2
1,1,16,5
5,5,138,5
0,0,21,5
8,1,66,1
3,0,25,2
1,0,44,3
9,1,131,1
1,0,20,2
0,0,5,4
2,0,27,2
2,0,3,1
1,1,44,5
0,0,1,1
6,2,45,3
5,1,12,1
0,0,2,4
1,1,11,5
1,1,12,5
0,0,2,5
0,0,2,5
2,0,28,3
1,1,23,5
1,0,26,1
4,4,25,5
0,0,40,5
1,0,5,3
1,0,30,1
0,0,14,2
3,3,34,5
0,0,0,5
0,0,0,5
0,0,12,5
0,0,4,1
1,1,19,5
11,7,151,5
2,2,75,5
3,0,52,1
1,1,17,5
2,2,8,5
0,0,2,5
6,1,36,3
12,0,120,1
1,0,1,4
3,0,14,2
1,1,11,5
4,0,21,1
16,16,156,5
9,0,77,1
2,1,13,4
7,1.4,86,4
2,2,17,5
2,0,11,4
1,1,2,5
5,1,51,3
0,0,16,5
8,3,91,5
5,5,51,5
1,1,11,5
1,0,2,2
0,0,1,5
4,1,21,4
6,0,32,4
5,0,50,2
1,1,16,1
2,2,7,5
1,1,3,5
4,1,8,4
3,0,21,2
0,0,46,5
1,1,2,2
0,0,23,1
3,0,32,2
10,0,99,3
0,0,1,3
2,0,41,1
3,0,3,4
2,0,75,2
2,1,26,2
1,0,57,1
1,1,44,5
3,3,56,5
2,0,78,4
3,3,158,5
9,2.2,92,4
1,0,3,1
1,0,5,1
2,0,26,5
2,0,9,2
2,0.19999999999999996,10,4
19,2,170,4
1,0,11,1
1,0,12,3
6,5.2,70,4
2,0,9,2
7,1,13,3
0,0,2,5
40,1,572,1
0,0,7,5
0,0,7,5
5,1,27,5
0,0,9,5
33,3,377,2
4,2,10,5
0,0,58,5
0,0,18,4
1,1,3,5
2,1,53,5
1,0,17,1
1,1,13,4
0,0,3,1
4,4,46,5
0,0,5,4
1,1,9,5
0,0,15,5
1,1,20,5
0,0,11,5
4,0,40,2
1,0,4,3
3,0,17,2
1,1,20,5
5,1,50,2
2,0,21,2
2,0,33,4
0,0,9,5
1,1,20,5
3,0,52,3
3,0,28,4
1,0,45,5
1,1,8,4
1,1,17,5
19,1,273,3
1,0,16,1
5,0,22,2
0,0,12,5
4,1,47,3
2,2,25,5
2,0,3,2
0,0,31,5
4,0,21,2
0,0,32,4
4,0,66,1
0,0,5,5
0,0,5,5
3,1,58,4
1,1,23,5
4,4,92,5
8,0,92,3
0,0,4,5
2,0,14,4
4,0,11,2
0,0,4,4
0,0,3,4
0,0,14,5
0,0,1,5
8,0,58,1
2,2,21,5
1,1,4,5
5,1,37,1
2,2,74,5
2,2,113,5
1,1,4,5
0,0,23,5
1,0,5,2
11,1,107,3
3,0,26,4
3,1,20,1
11,2,142,2
1,1,12,5
7,2,77,4
1,0,2,4
