rr,rr_reduced,total_traced,inf_p
2,2,93,5
2,2,54,5
7,1,36,2
2,0.6000000000000001,31,4
0,0,2,3
4,1,88,4
0,0,22,2
2,0,15,3
0,0,9,5
4,4,62,5
0,0,3,5
1,0,6,3
0,0,83,5
0,0,6,5
0,0,0,2
2,1,27,4
0,0,5,5
4,0.7999999999999998,59,4
0,0,4,2
1,0,55,1
5,5,70,5
3,3,25,5
1,1,4,5
5,0,46,1
3,3,35,5
7,1,49,1
0,0,0,3
2,2,28,5
0,0,11,3
2,2,95,5
2,2,37,5
4,0,69,1
2,2,39,5
2,0,14,1
0,0,69,5
3,3,41,5
22,0,258,1
8,3.2,56,4
0,0,8,5
6,2.6,23,4
3,0,61,1
4,0,36,2
1,1,28,5
2,1.4,24,4
0,0,49,5
4,0,47,2
5,1,82,1
1,0,8,4
5,0,74,2
6,1.6,86,4
0,0,1,1
1,1,16,3
2,2,20,5
3,0.6000000000000001,66,3
0,0,0,5
2,2,35,5
3,3,58,5
1,0,7,4
2,1,23,2
1,1,2,5
4,1.2,23,3
3,3,20,5
1,1,3,5
0,0,16,5
0,0,11,2
1,1,46,5
2,2,43,5
0,0,29,5
4,4,77,5
0,0,0,4
10,1.2000000000000002,159,3
0,0,11,5
1,0,15,2
0,0,1,5
2,2,44,5
5,5,56,5
4,0,34,1
8,1,68,1
0,0,47,5
13,13,223,5
3,0,39,1
0,0,51,5
5,2.2,48,4
0,0,13,5
0,0,22,5
1,1,15,4
4,0,81,1
0,0,3,2
1,0.6,3,4
1,0,6,2
1,1,22,5
3,3,119,5
6,1.6,41,4
1,1,2,3
2,0,63,1
0,0,1,5
4,2,19,3
0,0,0,5
6,6,54,5
1,0,12,4
3,1,15,1
0,0,14,1
7,7,136,5
0,0,56,5
4,0.6000000000000001,53,3
4,1,17,2
4,0,116,1
2,2,33,5
5,3.2,20,4
1,1,32,5
3,2,52,4
10,6,56,4
1,1,30,5
0,0,0,5
15,1,133,2
0,0,1,5
0,0,4,5
0,0,8,4
1,1,33,5
2,2,26,5
0,0,2,2
1,1,50,5
1,1,2,5
0,0,2,5
1,0,6,3
3,3,71,5
1,1,36,5
4,1,66,3
0,0,3,2
0,0,24,5
0,0,34,5
3,3,137,5
0,0,4,5
1,0,17,3
3,3,32,5
0,0,7,3
1,0,41,2
9,2.2,193,3
0,0,3,3
5,3.4,53,4
1,1,12,5
2,2,98,5
3,1,49,4
10,1,70,1
3,3,30,5
0,0,0,3
5,5,77,5
3,0,49,2
0,0,4,5
0,0,0,1
4,1,23,2
7,2.2,103,3
4,0.6000000000000001,53,3
5,5,78,5
1,1,15,5
6,3.4,78,4
7,7,100,5
4,0,49,1
1,1,15,3
4,0,27,2
0,0,2,5
1,1,42,5
1,1,48,5
1,0,16,2
1,1,5,5
4,0,24,2
4,0,116,1
