rr,rr_reduced,total_traced,inf_p
4,1,31,1
3,3,118,5
0,0,16,5
0,0,47,5
0,0,3,4
1,0,14,3
3,3,94,5
7,1.4000000000000004,51,4
1,0,5,3
5,5,182,5
1,1,37,5
1,1,28,5
0,0,3,5
7,7,47,5
0,0,13,4
3,0,36,3
13,13,92,5
0,0,3,5
1,0,15,1
0,0,12,5
2,2,21,5
7,1,90,3
1,1,39,5
3,3,94,5
1,0,3,2
1,0,3,4
0,0,16,5
4,1.2000000000000002,39,4
0,0,14,5
6,3.2,29,4
2,2,88,5
3,1,65,3
1,0,7,1
3,2,26,3
6,0,51,4
1,1,13,5
2,0.19999999999999996,26,4
4,0.3999999999999999,53,4
0,0,11,1
3,3,68,5
0,0,3,4
1,1,24,5
3,0,40,1
3,3,47,5
6,1.4,48,4
1,1,27,5
2,0,33,2
0,0,27,5
0,0,2,3
12,1,171,2
1,1,10,5
4,1,9,4
1,0,3,3
5,0,82,1
0,0,12,5
2,0,2,1
0,0,11,2
1,1,4,5
0,0,17,5
3,0,42,1
0,0,0,5
8,8,225,5
2,1,7,4
0,0,22,5
5,0,81,1
7,7,149,5
3,3,37,5
1,1,11,5
3,0,44,2
0,0,23,5
2,2,24,5
0,0,12,4
1,1,12,5
1,0,2,1
0,0,18,3
4,2,9,4
0,0,3,5
0,0,43,5
3,3,59,5
6,0,52,4
1,1,2,5
0,0,3,4
1,0,25,3
1,1,28,4
1,1,93,5
0,0,12,5
4,0,66,2
0,0,2,5
2,2,202,5
7,1,34,2
2,2,10,5
1,1,3,1
1,1,23,5
2,0.19999999999999996,56,4
5,5,59,5
0,0,14,1
0,0,3,5
0,0,1,4
0,0,12,5
0,0,14,5
1,0,33,1
1,1,30,5
2,2,35,5
2,0,35,2
2,0.19999999999999996,33,4
13,0,230,1
1,1,50,5
0,0,0,1
2,2,22,5
4,0.20000000000000018,68,4
0,0,2,1
1,0,30,2
0,0,0,2
0,0,22,5
0,0,1,5
0,0,4,5
2,2,5,5
10,2.4000000000000004,125,4
6,1,77,1
6,0,43,1
