rr,rr_reduced,total_traced,inf_p
4,4,76,5
0,0,21,5
1,1,44,5
2,2,22,5
0,0,44,5
5,0,46,1
3,3,18,5
1,1,3,5
3,3,35,5
4,1,67,2
6,0,70,1
10,0,126,1
5,0,27,4
3,0,127,1
1,1,37,5
7,1,130,3
0,0,3,5
2,0,13,2
3,3,39,5
1,1,15,5
1,1,38,5
2,2,30,5
4,4,199,5
0,0,3,5
2,2,22,5
4,4,27,5
0,0,11,5
5,1,84,3
0,0,4,5
0,0,2,3
4,4,42,5
22,22,618,5
2,0,3,3
3,3,30,5
1,0,6,3
0,0,22,5
1,1,13,5
13,0,153,1
0,0,0,2
0,0,2,5
0,0,1,5
8,0,119,1
4,4,95,5
1,0,14,4
0,0,4,5
2,0,17,2
1,0,19,3
1,0,1,2
5,5,35,5
4,0,39,3
2,2,12,5
1,0,4,3
0,0,20,5
5,1,40,2
2,2,51,5
5,1,63,3
0,0,19,1
0,0,2,5
1,1,54,5
3,0,94,4
1,0,28,1
4,0,65,1
3,3,58,5
4,0,31,2
3,3,35,5
0,0,3,1
0,0,6,3
2,2,29,5
2,0,22,2
0,0,12,5
4,1,34,3
2,2,49,5
9,1,254,3
1,1,26,5
2,0.19999999999999996,65,4
1,0,2,4
0,0,23,5
3,1,35,4
0,0,30,5
0,0,3,4
0,0,27,5
1,1,39,5
1,1,11,4
0,0,2,5
2,2,137,5
9,1.2000000000000002,141,4
0,0,1,2
5,5,54,5
4,0.3999999999999999,91,4
3,3,67,5
2,2,48,5
0,0,3,3
2,0,41,2
8,0,119,2
0,0,4,5
0,0,12,5
1,1,30,5
1,1,3,1
1,1,59,5
5,0,52,1
1,0,26,1
2,0,8,2
6,0,35,4
2,2,7,5
0,0,17,5
3,0,41,1
5,0,52,1
0,0,2,5
1,0,30,1
2,2,45,5
8,8,64,5
3,3,70,5
0,0,12,1
3,3,138,5
0,0,3,5
1,1,25,5
1,1,37,5
1,1,39,5
1,0,2,2
8,0.3999999999999999,87,4
7,1,88,1
0,0,15,5
0,0,31,5
2,0,40,1
1,1,34,5
9,0,141,1
3,0,76,1
1,1,17,5
1,1,15,2
0,0,42,3
1,1,61,5
