rr,rr_reduced,total_traced,inf_p
1,1,6,5
0,0,1,5
7,7,80,5
7,6,1,3
2,2,1,5
1,1,22,5
9,0,47,3
3,3,29,5
3,1,1,1
2,2,28,5
3,3,45,5
0,0,8,5
2,0,51,4
0,0,1,5
1,1,12,5
1,0.19999999999999996,2,4
5,1,61,4
2,0,12,4
5,5,28,5
1,0,4,2
1,0,7,4
3,0,38,1
5,2,6,2
1,1,29,5
2,2,4,5
5,0,18,1
4,1,21,2
3,0,36,2
0,0,5,5
3,3,133,5
3,1,2,2
1,0,2,3
1,0,46,2
1,0,0,3
0,0,1,5
11,0,136,1
11,0,81,1
0,0,2,4
1,1,14,5
2,2,105,5
4,4,35,5
2,2,8,5
1,1,4,5
4,4,142,5
2,2,16,5
0,0,1,3
1,0,2,2
0,0,22,5
0,0,2,5
1,1,6,5
5,2,59,3
0,0,7,3
2,0,35,1
5,4,34,3
0,0,23,5
0,0,1,3
2,0,17,1
0,0,2,4
0,0,2,1
2,0.19999999999999996,39,4
5,5,42,5
4,0,53,2
8,2,184,3
0,0,0,3
6,0.20000000000000018,94,4
1,1,2,5
0,0,1,4
2,2,20,5
2,2,4,5
5,0,35,4
2,2,32,5
0,0,2,4
2,2,3,5
2,2,2,5
3,3,49,5
0,0,1,4
7,1,130,1
1,0,16,3
0,0,3,5
0,0,2,3
23,2,258,2
1,1,38,5
0,0,1,5
1,1,37,5
0,0,4,5
1,1,2,5
2,2,3,4
1,0,27,1
3,3,26,5
3,2,19,3
0,0,2,2
4,3.2,14,4
7,0,100,2
5,2,96,4
2,2,25,5
0,0,2,4
2,2,80,5
5,1,58,2
0,0,2,4
1,1,8,5
4,4,35,5
2,2,20,5
6,0,72,2
1,1,38,5
4,0,53,1
0,0,20,4
2,0,30,1
1,1,4,5
0,0,2,5
16,1,108,2
5,5,170,5
0,0,1,5
3,2,23,3
3,0,32,3
4,4,57,5
0,0,13,5
0,0,11,5
1,0,3,3
3,3,25,5
2,1,8,3
0,0,3,2
2,0.3999999999999999,6,4
0,0,1,1
0,0,1,5
2,2,58,5
1,1,1,5
1,1,11,5
6,1.2000000000000002,119,4
1,0,15,2
27,7,251,2
0,0,12,5
0,0,14,1
4,4,133,5
3,0,3,3
0,0,0,2
7,1.2000000000000002,48,4
7,0,31,2
8,2,1,2
7,2,10,2
3,3,64,5
1,0,3,1
2,1,1,3
1,1,2,5
1,0,26,4
0,0,14,5
1,1,7,5
3,0,3,3
4,0,30,1
2,2,74,5
0,0,34,5
4,0,37,1
6,6,1,5
4,2,20,4
4,4,15,5
2,2,3,5
1,1,7,5
2,0,16,2
0,0,13,5
1,1,17,5
0,0,6,5
1,0,29,2
1,0,6,2
1,0,53,1
0,0,7,1
7,7,71,5
0,0,0,5
3,0.3999999999999999,3,4
0,0,1,1
5,2,1,2
5,0,46,1
2,2,13,5
0,0,0,3
4,4,121,5
0,0,0,4
0,0,8,5
14,14,1,5
0,0,1,5
9,1,56,1
2,2,32,4
1,1,9,5
3,3,50,5
6,0,30,1
2,2,25,5
20,9.4,161,4
0,0,3,5
12,4,92,1
0,0,15,1
6,3,25,3
0,0,8,5
6,1,56,4
0,0,39,5
0,0,12,2
5,2,13,2
5,1,48,3
11,11,241,5
2,2,5,5
1,1,1,5
0,0,7,4
0,0,2,5
1,0,39,2
0,0,6,5
1,0,25,1
1,1,8,5
13,5.2,130,4
0,0,3,2
3,0.20000000000000018,38,4
0,0,25,4
0,0,20,4
6,6,134,5
5,0,102,3
1,1,0,3
0,0,2,1
1,1,9,5
3,3,12,5
1,1,10,5
5,0,97,1
10,10,158,5
1,0,3,4
1,0,1,2
27,21,3,4
1,1,4,5
0,0,1,1
3,3,5,4
9,1,10,1
4,1.2,45,4
0,0,4,4
1,1,30,5
1,0,28,1
0,0,2,4
0,0,21,1
3,1,23,1
2,0,15,2
0,0,1,1
2,0,31,4
14,14,163,5
2,2,37,5
1,1,30,4
2,1,4,3
0,0,34,5
0,0,1,4
1,1,2,2
5,0,39,4
0,0,1,5
1,0,6,3
0,0,13,5
1,0,45,2
6,0.3999999999999999,115,4
14,5,148,4
8,8,12,5
0,0,3,3
0,0,10,1
2,2,113,5
1,1,2,5
1,1,6,5
6,6,85,5
0,0,1,4
3,3,39,5
1,1,45,5
1,0.19999999999999996,27,4
8,4.2,12,4
6,5,7,4
0,0,2,1
0,0,20,5
1,0,5,1
0,0,2,5
7,3,26,1
2,1,16,1
5,1,74,2
9,9,191,5
3,3,75,5
0,0,1,5
4,3,2,4
0,0,0,5
0,0,2,2
4,4,88,5
1,0,11,1
0,0,1,5
6,6,108,5
0,0,2,3
1,1,2,2
1,0,5,2
10,2.2,62,4
1,1,9,5
1,1,66,5
3,1,1,2
6,0,71,2
4,0.20000000000000018,34,4
1,1,24,5
2,2,10,1
0,0,0,5
0,0,7,5
0,0,2,5
5,3,11,3
2,1,1,4
2,0,16,3
0,0,1,5
3,3,3,5
1,0,7,2
1,0,9,2
0,0,0,3
2,1,15,4
5,5,3,5
4,0,26,2
1,1,2,5
0,0,4,1
0,0,0,5
0,0,1,2
7,7,262,5
3,0,41,1
2,2,64,5
0,0,10,2
0,0,4,1
0,0,1,3
2,1,1,4
1,1,16,5
3,3,31,5
4,0,36,3
0,0,12,4
13,0,145,1
5,1,51,2
1,1,31,5
0,0,14,5
1,0,2,1
0,0,6,5
3,0,31,2
5,2,13,1
2,2,18,5
8,2,2,1
2,2,4,5
0,0,17,5
0,0,3,5
0,0,2,5
1,0,12,2
0,0,10,5
2,0,32,3
3,2,10,4
3,1,23,1
1,0,2,3
2,2,18,5
0,0,0,5
0,0,2,5
3,3,77,5
0,0,1,5
0,0,1,5
2,2,42,5
1,1,1,5
4,3,12,4
0,0,3,5
1,0,31,1
2,1,0,4
2,0,15,2
1,1,5,5
0,0,1,2
0,0,2,2
4,4,23,5
2,0,41,4
3,1,6,3
1,1,75,5
3,1,55,2
4,3,1,1
1,1,3,5
2,0,4,1
0,0,3,3
3,0,2,4
2,0,23,3
12,7,18,2
0,0,38,5
3,3,47,5
0,0,2,5
0,0,53,5
10,1,56,2
3,3,1,3
0,0,1,5
0,0,1,3
0,0,1,2
6,6,1,4
3,3,34,5
2,1,27,3
5,5,26,5
2,2,21,5
2,2,18,5
8,7,2,4
2,0,39,4
0,0,0,5
4,4,17,5
6,6,69,5
0,0,3,5
0,0,6,5
0,0,8,5
3,3,86,5
0,0,2,5
0,0,5,5
9,1,89,1
1,0,3,2
18,18,423,5
3,3,91,5
0,0,6,1
4,1,33,2
0,0,21,5
0,0,2,5
4,0,63,2
0,0,4,5
1,0,17,2
5,2,136,4
5,5,78,5
2,2,5,5
8,6,41,3
0,0,1,5
4,1,4,1
0,0,1,3
10,10,228,5
2,1,3,3
1,0,11,4
18,18,217,5
2,2,13,5
1,0,3,3
1,1,53,5
2,2,55,5
1,1,31,5
0,0,3,5
1,1,6,4
0,0,1,5
0,0,14,5
1,1,3,2
4,1,26,2
2,0,7,2
4,3,54,4
0,0,6,3
0,0,16,2
0,0,2,5
8,8,167,5
2,2,16,5
0,0,2,3
2,1.2,2,4
4,1,22,3
7,7,87,5
0,0,17,5
0,0,3,5
0,0,23,5
4,0,3,1
4,1,7,2
3,3,7,5
1,1,1,2
8,0,97,1
3,3,40,5
1,0,3,4
0,0,0,3
0,0,6,1
7,2,35,2
0,0,0,5
2,2,45,5
0,0,23,4
4,0,47,3
5,2,3,1
2,0,19,1
1,0.19999999999999996,5,4
3,0,30,2
6,2.2,53,4
1,1,10,5
6,2.2,75,4
6,3,22,3
1,0,1,1
3,0,21,2
2,0,1,3
2,0,48,2
0,0,1,2
14,8.4,93,4
1,1,2,5
0,0,1,4
0,0,1,4
4,2,56,3
0,0,1,5
6,6,86,5
0,0,0,5
4,1,4,1
3,0,32,1
8,0,102,1
2,2,0,4
1,1,1,3
2,0,21,3
1,1,1,5
4,4,116,5
3,2,1,2
0,0,0,1
5,5,164,5
2,0,37,3
2,2,53,5
1,0,11,3
0,0,3,5
2,2,15,5
4,1,19,1
34,1.3999999999999986,539,4
2,2,65,5
1,1,21,5
0,0,9,2
5,5,183,5
0,0,3,5
0,0,2,3
3,1,4,2
2,0,25,4
1,1,14,4
0,0,0,3
12,3,50,3
3,1.2,6,4
5,1,74,2
1,0,0,2
4,0,48,4
1,1,1,5
2,2,45,5
2,1,32,2
0,0,6,1
2,1,10,2
0,0,16,5
0,0,2,5
0,0,1,4
3,2,1,2
0,0,2,2
1,1,3,5
3,0,41,3
0,0,8,5
0,0,7,5
0,0,0,1
1,1,7,5
7,0,183,3
0,0,2,2
2,2,7,5
4,0,30,3
1,0,1,1
0,0,5,5
7,1.4000000000000004,146,4
5,5,46,5
16,4,222,4
3,3,60,5
5,0.3999999999999999,69,4
2,0,8,2
7,0,21,1
2,2,3,5
1,0,0,1
3,1,11,4
4,1.2,21,4
1,1,22,5
2,2,51,5
2,1,5,3
0,0,1,4
2,1,39,4
2,2,1,5
3,3,1,5
3,3,57,5
0,0,0,4
3,1,9,3
1,1,11,5
4,1,96,3
4,4,18,5
3,3,104,5
1,1,1,5
1,0,32,4
0,0,2,1
1,0,1,3
0,0,2,5
1,1,17,5
0,0,1,5
3,0,20,4
4,0,11,1
5,1,22,2
0,0,10,5
0,0,3,5
0,0,6,2
7,1,78,1
0,0,0,4
0,0,4,5
1,1,35,5
0,0,18,5
3,2,25,4
2,0,2,3
0,0,6,1
9,0,73,3
2,1,9,4
1,0,6,1
0,0,3,5
2,2,34,5
3,3,69,5
5,2,70,4
0,0,2,2
0,0,13,5
2,2,2,5
0,0,3,5
4,4,18,5
0,0,22,5
2,0,3,2
1,1,24,5
3,3,119,5
1,0,15,1
0,0,1,5
0,0,0,2
4,4,3,3
0,0,29,5
0,0,1,5
2,2,58,5
2,1,0,3
2,1,6,3
12,1,172,3
0,0,1,4
13,2,163,2
0,0,0,2
2,2,92,5
2,1,12,1
5,0,63,3
0,0,3,5
4,4,146,5
0,0,2,3
3,0,35,1
7,1,90,2
2,1,31,2
1,1,31,5
2,0,16,1
6,3,20,4
2,2,100,5
2,1,12,1
4,3,23,3
4,4,6,5
3,3,45,5
1,1,20,5
0,0,1,5
1,1,3,5
1,1,2,5
5,5,3,5
1,1,3,5
1,1,4,5
0,0,2,5
7,7,104,5
0,0,8,5
2,2,1,4
15,15,238,5
7,3,26,3
1,0,4,3
1,0,17,3
0,0,2,5
4,0,103,1
1,1,12,5
1,1,26,5
6,3,2,3
1,0,3,4
0,0,18,5
3,0,22,1
1,1,22,5
0,0,1,2
2,0,3,1
0,0,35,5
0,0,18,5
7,7,97,5
2,0,43,1
2,1,35,4
1,0,1,4
0,0,40,5
4,4,171,5
0,0,1,4
7,7,131,5
2,2,50,5
0,0,1,1
1,1,4,5
6,2,32,1
1,0,19,2
3,3,65,5
0,0,1,5
8,1,71,1
2,1,3,3
0,0,1,5
4,4,41,5
0,0,2,1
0,0,6,1
0,0,2,5
1,0,41,2
0,0,3,5
1,1,6,5
5,0,27,1
0,0,17,5
0,0,31,5
2,2,71,5
1,0,15,3
0,0,3,5
3,3,30,5
3,3,0,5
0,0,25,5
1,0,7,2
0,0,1,2
0,0,0,3
1,0,5,1
9,1.2000000000000002,68,4
6,2,16,2
2,2,21,5
6,6,98,5
3,3,140,5
7,4,15,1
1,1,4,5
4,4,79,5
0,0,1,4
0,0,3,5
0,0,1,1
0,0,0,3
3,3,72,5
5,0,89,1
1,0,22,4
2,2,1,2
0,0,1,5
1,0,11,1
2,0,8,2
0,0,10,4
1,0,9,2
1,0,3,2
1,1,1,5
2,2,43,4
13,0,128,2
19,4,276,3
2,0,32,3
3,0,57,1
1,0.19999999999999996,30,4
3,1,1,3
2,0,20,2
1,0,15,2
2,2,21,5
2,1,2,4
3,1,1,2
6,2.4,43,4
1,1,3,5
5,0.20000000000000018,52,4
3,3,53,5
1,1,3,5
0,0,2,5
1,1,2,5
13,13,3,5
0,0,5,5
0,0,4,5
32,32,574,5
0,0,0,5
4,0,45,1
7,4,3,3
1,0,1,3
5,3,27,3
7,3,37,2
1,0,13,4
0,0,1,1
7,1,1,1
10,0,150,3
1,0,1,4
9,1,107,3
5,1,23,3
0,0,0,4
4,1,50,2
2,2,2,4
2,2,42,5
0,0,22,5
1,1,1,5
5,0,3,1
2,0,31,4
2,2,19,5
0,0,1,4
0,0,1,5
2,2,1,5
2,0,3,1
1,0,2,3
2,2,33,5
0,0,38,5
1,1,3,4
3,3,121,5
1,0,5,3
3,3,2,5
7,0,55,1
6,0,42,1
1,1,17,5
2,2,2,5
5,2,12,4
4,4,2,5
3,3,118,5
4,2,4,4
9,9,178,5
6,6,29,5
1,1,8,5
0,0,23,5
0,0,3,5
0,0,4,2
0,0,1,2
0,0,12,5
2,2,74,5
2,1,1,2
2,2,58,5
2,2,27,5
4,0,38,2
1,1,9,5
0,0,6,1
1,1,11,2
2,2,32,5
4,0,32,3
0,0,18,5
4,4,38,5
5,0,42,2
2,1,46,2
0,0,1,3
5,1.2,77,4
1,1,4,5
4,1,3,1
2,1,6,1
2,2,21,5
2,1,1,2
1,1,1,5
6,3,58,3
2,2,2,5
1,0,14,3
7,4,23,3
1,1,3,5
0,0,1,1
0,0,0,5
0,0,20,3
0,0,1,4
1,0,7,1
5,1,72,2
0,0,15,4
0,0,2,1
0,0,1,2
0,0,27,5
0,0,6,5
0,0,21,5
1,1,3,5
2,0,16,1
1,0,3,3
4,0,14,4
5,5,90,5
3,1,28,4
7,4,61,3
1,0,2,3
1,1,22,5
1,0,10,4
4,4,61,5
2,0,43,1
1,0,8,2
7,7,77,5
0,0,4,5
2,2,115,5
0,0,12,5
4,0,73,1
0,0,36,5
1,1,21,5
3,0,6,1
6,5,43,3
3,3,36,5
3,1,27,2
3,3,54,5
0,0,2,5
0,0,2,2
0,0,23,5
2,1,0,1
2,1,4,3
1,1,36,5
5,1,9,1
0,0,1,5
2,1,17,4
2,1,12,1
1,0,4,4
10,1,187,1
1,1,1,5
13,3,0,2
1,1,9,5
4,2,4,4
2,0,26,2
5,0,90,3
0,0,41,5
1,1,33,5
3,0,64,4
4,4,105,5
3,0,24,2
1,0.19999999999999996,3,4
3,3,7,5
0,0,1,5
1,1,17,5
1,1,11,5
0,0,39,5
0,0,2,5
3,3,65,5
0,0,1,4
2,1,18,3
10,10,245,5
0,0,1,5
1,1,3,5
3,1,18,1
0,0,0,3
1,0,4,1
4,4,3,4
1,0,1,3
0,0,3,5
14,2,82,1
0,0,47,5
6,6,116,5
0,0,1,4
5,2,3,2
2,1,2,4
2,0,21,3
2,0,32,2
11,4.2,48,4
1,1,1,4
0,0,3,1
0,0,2,1
1,0,6,2
1,0,3,1
2,1,0,3
2,0,42,3
4,4,37,5
0,0,1,5
5,0,92,1
1,1,60,2
0,0,11,5
0,0,1,5
0,0,10,1
0,0,12,4
2,2,21,5
2,2,40,5
0,0,15,5
6,6,5,5
14,14,166,5
0,0,2,5
2,1,1,4
2,0,7,4
0,0,6,5
0,0,3,5
9,9,277,5
7,1,117,2
2,0,2,1
0,0,3,5
8,1.7999999999999998,169,4
4,2.2,43,4
0,0,34,5
2,2,44,5
0,0,3,2
15,15,76,5
1,0,3,4
5,3,29,4
5,5,73,5
0,0,1,5
2,0,1,2
0,0,12,5
2,2,1,5
1,1,3,5
0,0,1,5
1,1,3,5
0,0,2,5
0,0,2,5
0,0,4,3
3,0,2,2
2,2,3,3
0,0,0,2
1,1,106,5
1,0,16,2
3,1,15,3
0,0,3,5
0,0,1,2
0,0,4,3
3,0.19999999999999996,35,4
2,1,13,4
4,0,3,1
7,0,74,3
15,9,11,4
11,1,122,1
7,7,2,5
0,0,2,1
6,0,47,2
10,2,2,1
0,0,17,5
2,0,25,4
8,1,111,2
2,2,1,5
0,0,3,5
4,2,13,3
2,1,0,1
1,0.19999999999999996,12,4
1,0,2,1
1,1,1,5
0,0,5,3
1,1,3,5
1,1,17,5
9,7,16,4
9,9,114,5
2,0,58,2
5,0,48,1
3,1,31,1
0,0,2,2
0,0,3,3
2,2,3,5
1,0,2,1
3,3,78,5
1,1,3,5
3,3,2,5
0,0,4,5
3,0,14,1
2,0,4,1
0,0,1,3
5,1.2000000000000002,48,4
0,0,3,2
1,1,28,5
5,1,13,2
1,1,17,5
2,0,6,2
1,0,2,2
1,1,87,5
11,1,119,3
10,1,53,1
1,1,23,5
1,0,46,1
4,0,19,1
3,3,56,5
7,0,33,1
0,0,6,5
1,0,16,1
0,0,2,1
11,11,38,5
2,2,2,4
2,0,5,3
1,0,3,1
12,7,1,3
1,1,7,5
6,0,73,3
0,0,8,5
5,5,4,5
1,1,18,5
8,1,120,3
0,0,4,4
1,0.19999999999999996,3,4
5,0,20,1
0,0,19,5
11,2,40,1
0,0,1,5
0,0,3,5
0,0,1,5
2,2,2,5
1,1,0,2
0,0,8,4
0,0,22,5
1,0,29,2
2,2,3,5
14,14,325,5
3,3,112,5
1,1,43,5
0,0,7,5
2,0.19999999999999996,16,4
4,1,3,2
0,0,1,5
2,2,40,5
2,2,84,5
3,0,16,2
12,0,161,1
0,0,8,5
3,0,68,1
4,0,2,1
0,0,1,1
3,1,44,2
0,0,9,2
0,0,34,4
1,1,3,5
24,15,2,2
2,1,3,4
2,0,5,1
4,1,1,3
2,2,39,5
5,1.2000000000000002,96,4
2,0,68,2
7,3,70,3
0,0,2,5
0,0,3,3
2,1,6,1
4,1,3,2
0,0,3,5
4,4,37,5
3,3,79,5
4,1,38,3
6,6,83,5
6,0,59,1
0,0,3,5
0,0,3,5
0,0,1,2
1,1,22,5
1,0,28,1
7,3,2,3
0,0,30,5
3,1,2,3
3,0,20,2
2,0,19,1
1,0,3,1
2,1,21,2
0,0,17,5
10,2,95,2
9,7,7,4
0,0,45,5
0,0,1,5
3,3,74,5
2,1,7,1
0,0,3,3
6,2,2,2
18,18,75,5
0,0,3,5
0,0,2,5
0,0,2,2
5,0,41,1
1,1,13,5
2,0,28,1
0,0,0,5
6,0,51,4
0,0,2,1
1,1,1,1
3,0,31,3
2,0,12,3
0,0,4,3
4,4,122,5
0,0,1,5
1,0,1,1
0,0,48,5
0,0,1,1
2,2,1,4
0,0,27,5
0,0,2,5
6,0,75,2
6,6,46,5
1,0,12,4
0,0,59,5
2,0,17,4
1,1,13,5
0,0,13,5
0,0,28,1
0,0,3,5
2,2,36,5
3,3,3,5
4,2,28,1
0,0,24,5
0,0,1,5
0,0,1,4
1,0,7,4
5,2,42,2
0,0,23,5
0,0,2,1
1,1,13,5
0,0,1,5
0,0,8,5
1,0,2,1
0,0,3,3
1,1,1,5
0,0,6,2
10,0,151,3
3,2,3,4
0,0,3,5
5,5,2,5
3,2,37,3
2,1,5,1
0,0,7,5
8,0,97,1
0,0,1,2
2,1,32,2
1,0,17,1
1,1,6,5
0,0,3,5
0,0,2,1
2,2,2,5
2,0,13,3
2,2,18,5
3,3,33,5
0,0,4,5
11,3,60,4
5,5,3,5
0,0,31,5
0,0,17,5
2,0,19,4
5,5,76,5
1,1,4,5
0,0,21,5
1,0,1,2
1,1,2,5
1,1,43,5
3,3,17,5
3,0,17,1
1,1,0,4
0,0,10,1
1,0,19,4
1,1,21,5
10,0,47,1
0,0,3,5
1,1,1,5
2,0,25,4
4,1,27,4
0,0,1,5
0,0,2,2
0,0,3,5
3,1,26,4
0,0,1,4
0,0,29,5
0,0,21,5
0,0,21,3
17,9.4,61,4
4,1,22,1
6,6,36,5
1,1,9,5
0,0,7,4
3,3,44,5
6,6,45,5
5,1,16,2
0,0,1,1
1,0,1,2
2,2,36,5
1,1,3,5
9,5,39,3
3,3,18,5
9,2,47,2
2,1,1,2
3,3,40,5
4,4,79,5
1,1,12,5
2,0,11,2
0,0,3,5
1,1,3,5
3,3,3,5
2,2,2,5
5,0,23,1
4,2,3,3
2,2,16,5
2,0,24,1
1,1,1,5
0,0,2,5
3,3,2,5
2,0,1,1
2,0,60,2
2,2,11,5
3,3,2,4
0,0,1,4
0,0,3,5
0,0,1,2
14,3,156,2
1,1,9,5
10,10,144,5
1,0,5,4
0,0,29,5
0,0,1,1
3,3,3,5
1,1,10,2
8,8,116,5
2,1,18,3
1,0,3,3
1,1,2,5
0,0,13,5
0,0,1,5
7,7,36,5
3,2,33,2
0,0,4,1
0,0,2,5
1,1,56,5
1,0,14,2
0,0,31,5
1,1,1,5
2,2,13,5
2,2,27,5
3,0,25,4
3,0,36,4
6,4,28,4
0,0,11,5
1,0,3,4
3,2,2,3
1,1,23,5
1,0,6,1
2,2,8,5
1,1,34,5
6,1,59,3
0,0,35,5
1,1,6,5
0,0,3,5
1,0,10,1
0,0,19,5
2,2,19,5
21,0.5999999999999996,408,4
0,0,13,5
2,0,3,3
1,1,37,5
2,0,24,3
1,1,3,5
0,0,1,3
1,1,8,5
1,1,1,5
2,0,34,1
5,0,38,4
1,0,1,2
6,1,9,2
0,0,30,5
6,0,114,1
0,0,0,5
15,10,36,4
5,5,125,5
4,0,21,2
2,2,24,5
4,0,68,2
1,0,4,1
9,1.4000000000000004,100,4
1,1,3,5
10,10,68,5
4,2,101,4
3,3,0,4
1,1,23,5
2,1,1,1
0,0,8,4
4,0,11,3
1,1,18,5
5,0,81,3
1,0,2,1
2,2,3,5
0,0,6,4
5,1,65,3
0,0,3,5
1,0,3,3
0,0,2,5
7,1,73,2
14,1.1999999999999993,100,4
3,3,21,5
2,2,62,5
2,0.3999999999999999,19,4
5,0.3999999999999999,67,4
