scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.18995,0,2.18995,0,0,0,0,0.4149,0.2014,0,41%,2.19,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.2
isolation_manual_tracing_met_only,2.1909,1.4652,0.7257,22,36,1,112,0.15295,0.04065,0.6687662604409147,15%,0.725,67%,22 (1-110),650,320,160,0,4,0.95,0.53,0.6,0.2
isolation_manual_tracing_met_limit,2.1689,1.5843,0.5846,18,32,1,105,0.12195,0.0257,0.7304624464014016,12%,0.59,73%,18 (1-100),580,290,140,0,4,0.95,0.53,0.6,0.2
isolation_manual_tracing,2.16765,1.56925,0.5984,28,43,1,133,0.12115,0.0309,0.723940673079141,12%,0.605,72%,28 (1-130),770,390,190,0,4,0.95,0.53,0.6,0.2
cell_phone,2.21115,1.1499,1.06125,4,15,0,58,0.2264,0.0756,0.5200461298419374,23%,1.05,52%,4 (0-58),270,140,68,0,4,0.95,0.53,0.6,0.2
cell_phone_met_limit,2.21765,1.33155,0.8861,4,12,0,46,0.19415,0.05595,0.6004328906725588,19%,0.875,60%,4 (0-46),220,110,54,0,4,0.95,0.53,0.6,0.2
