scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.3189,0,2.3189,0,0,0,0,0.44595,0.21115,0,45%,2.32,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.30000000000000004
isolation_manual_tracing_met_only,2.3459,1.5028,0.8431,22,36,1,115,0.1873,0.05025,0.6406070164968669,19%,0.833,64%,22 (1-120),650,320,160,0,4,0.95,0.53,0.6,0.30000000000000004
isolation_manual_tracing_met_limit,2.31395,1.61155,0.7024,17,32,1,105,0.15135,0.0365,0.696449793642905,15%,0.704,70%,17 (1-100),580,290,140,0,4,0.95,0.53,0.6,0.30000000000000004
isolation_manual_tracing,2.29275,1.55265,0.7401,28,43,1,131,0.1593,0.04365,0.6771998691527641,16%,0.749,68%,28 (1-130),770,390,190,0,4,0.95,0.53,0.6,0.30000000000000004
cell_phone,2.31025,1.14185,1.1684,4,14,0,57,0.25885,0.08475,0.49425386862893617,26%,1.17,49%,4 (0-57),250,130,63,0,4,0.95,0.53,0.6,0.30000000000000004
cell_phone_met_limit,2.30555,1.3012,1.00435,5,12,0,47,0.2245,0.0644,0.5643772635596712,22%,1.01,56%,5 (0-47),220,110,54,0,4,0.95,0.53,0.6,0.30000000000000004
