scenario,basic,r_diff,r_eff,contacts,reduction_raw,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.162,0,2.162,1,0,2.2,0 %,1,90,45,9,0,4,0.95,0.53,0.6,0.1
isolation_manual_tracing_met_only,2.21,1.633,0.577,37,0.7389140271493213,0.56,74 %,37,3330,1670,333,0,4,0.95,0.53,0.6,0.1
isolation_manual_tracing_met_limit,2.049,1.586,0.463,35,0.7740361151781356,0.49,77 %,35,3150,1580,315,0,4,0.95,0.53,0.6,0.1
isolation_manual_tracing,2.027,1.604,0.423,37,0.7913172175629009,0.45,79 %,37,3330,1670,333,0,4,0.95,0.53,0.6,0.1
cell_phone,2.029,1.295,0.734,13,0.6382454411039922,0.78,64 %,13,1170,585,117,0,4,0.95,0.53,0.6,0.1
cell_phone_met_limit,2.099,1.295,0.804,13,0.616960457360648,0.83,62 %,13,1170,585,117,0,4,0.95,0.53,0.6,0.1
