scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.57995,0,2.57995,0,0,0,0,0.50195,0.2485,0,50%,2.58,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.58525,1.46345,1.1218,22,36,1,114,0.2461,0.08555,0.566076781742578,25%,1.12,57%,22 (1-110),650,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.57585,1.65485,0.921,17,32,1,105,0.2035,0.05775,0.6424481239202593,20%,0.922,64%,17 (1-100),580,290,140,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5962,1.57705,1.01915,28,43,1,131,0.21825,0.07705,0.6074454972652339,22%,1.01,61%,28 (1-130),770,390,190,0,4,0.95,0.53,0.6,0.5
cell_phone,2.58355,1.13655,1.447,4,14,0,55,0.3193,0.11795,0.439917942366124,32%,1.44,44%,4 (0-55),250,130,63,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.56525,1.37345,1.1918,4,12,0,47,0.26745,0.08415,0.535405905857129,27%,1.2,54%,4 (0-47),220,110,54,0,4,0.95,0.53,0.6,0.5
