scenario,basic,r_diff,r_eff,contacts,reduction_raw,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.503,0,2.503,1,0,2.5,0 %,1,90,45,9,0,4,0.95,0.53,0.5,0.5
isolation_manual_tracing_met_only,2.301,1.17,1.131,36,0.5084745762711864,1.2,51 %,36,3240,1620,324,0,4,0.95,0.53,0.5,0.5
isolation_manual_tracing_met_limit,2.547,1.511,1.036,35,0.5932469572045544,1,59 %,35,3150,1580,315,0,4,0.95,0.53,0.5,0.5
isolation_manual_tracing,2.492,1.527,0.965,37,0.612760834670947,0.97,61 %,37,3330,1670,333,0,4,0.95,0.53,0.5,0.5
cell_phone,2.443,1.185,1.258,14,0.4850593532541957,1.3,49 %,14,1260,630,126,0,4,0.95,0.53,0.5,0.5
cell_phone_met_limit,2.427,1.163,1.264,13,0.47919241862381545,1.3,48 %,13,1170,585,117,0,4,0.95,0.53,0.5,0.5
