scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.107,0,2.107,0,0,0,0,0.44255,0.19005,0,44%,2.1,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.30000000000000004,0.5
isolation_manual_tracing_met_only,2.10125,0.7548,1.34645,21,35,1,114,0.3042,0.10755,0.359214753123141,30%,1.4,36%,21 (1-110),630,320,160,0,4,0.95,0.53,0.30000000000000004,0.5
isolation_manual_tracing_met_limit,2.11055,0.95795,1.1526,17,32,1,107.049999999999,0.26425,0.08155,0.45388642770841714,26%,1.2,45%,17 (1-110),580,290,140,0,4,0.95,0.53,0.30000000000000004,0.5
isolation_manual_tracing,2.11265,0.7944,1.31825,28,43,1,134,0.29485,0.1045,0.37602063758786364,29%,1.3,38%,28 (1-130),770,390,190,0,4,0.95,0.53,0.30000000000000004,0.5
cell_phone,2.1213,0.5925,1.5288,5,15,0,58,0.34105,0.12595,0.27930985716306045,34%,1.5,28%,5 (0-58),270,140,68,0,4,0.95,0.53,0.30000000000000004,0.5
cell_phone_met_limit,2.09615,0.80425,1.2919,5,12,0,46,0.30275,0.092,0.38367960308184057,30%,1.3,38%,5 (0-46),220,110,54,0,4,0.95,0.53,0.30000000000000004,0.5
