scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
cell_phone,2.611,1.09135,1.51965,3,9.5,0,40,0.33715,0.1267,0.417981616238989,34%,0.88,42%,3 (0-40),170,86,43,0,4,0.95,0.4,0.6,0.5
cell_phone_met_limit,2.5909,1.32915,1.26175,3,8,0,31,0.2808,0.0954,0.5130070631826779,28%,0.74,51%,3 (0-31),140,72,36,0,4,0.95,0.4,0.6,0.5
