scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.58065,1.70135,0.8793,22,35,1,114,0.19735,0.0592,0.6592718888652084,20%,0.3,66%,22 (1-110),630,320,160,0.5,6,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5597,1.8058,0.7539,19,33,1,109,0.1707,0.04195,0.7054732976520686,17%,0.26,71%,19 (1-110),590,300,150,0.5,6,0.95,0.53,0.6,0.5
cell_phone,2.5921,1.50925,1.08285,5,15,0,57,0.2432,0.0785,0.5822499131977932,24%,0.37,58%,5 (0-57),270,140,68,0.5,6,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5917,1.6378,0.9539,5,13,0,49,0.2146,0.06005,0.6319404252035343,21%,0.32,63%,5 (0-49),230,120,58,0.5,6,0.95,0.53,0.6,0.5
