scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.6059,1.3951,1.2108,14,29,0,107,0.26985,0.09285,0.53536206301086,27%,0.56,54%,14 (0-110),520,260,130,0,4,1,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.6151,1.51245,1.10265,23,38,1,125,0.2408,0.0835,0.5783526442583458,24%,0.51,58%,23 (1-120),680,340,170,0,4,1,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.53005,1.6298,0.90025,18,33,1,109,0.199,0.05985,0.6441769925495544,20%,0.43,64%,18 (1-110),590,300,150,0,4,1,0.53,0.6,0.5
isolation_manual_tracing,2.52635,1.58575,0.9406,30,45,1,139,0.20215,0.07335,0.6276842084430106,20%,0.45,63%,30 (1-140),810,400,200,0,4,1,0.53,0.6,0.5
