rr,rr_reduced,total_traced,inf_p
1,0,15,2
9,0,110,2
11,0,151,2
2,2,32,5
1,1,31,2
2,2,69,5
3,0,39,1
3,3,60,5
6,1,83,2
1,1,23,5
1,0,42,2
1,0,3,4
7,0,78,2
2,2,43,5
2,2,73,5
3,3,54,5
4,4,267,5
0,0,13,5
5,0,48,2
0,0,28,4
1,0,17,1
1,1,49,5
4,1,42,2
0,0,1,5
2,2,54,5
0,0,1,3
0,0,13,1
7,0,111,3
0,0,1,5
1,0,21,4
1,0,15,1
0,0,3,5
1,0,9,1
1,0,13,1
0,0,1,1
1,1,46,5
2,0,38,1
1,0,30,2
5,1,100,1
0,0,8,5
1,1,12,5
0,0,0,5
11,2.2,121,4
0,0,11,1
0,0,11,5
0,0,1,3
2,2,71,5
6,0,109,2
1,1,84,5
2,0,29,4
4,0,70,1
3,3,82,5
0,0,6,5
0,0,3,5
0,0,1,2
0,0,23,5
6,6,255,5
1,0,13,3
1,0,13,3
2,0,37,3
2,2,58,5
13,1,153,1
3,0,50,2
2,2,4,5
0,0,2,5
9,1,66,2
1,0,13,3
15,2.5999999999999996,245,4
1,1,3,5
0,0,2,4
0,0,26,5
1,0,53,4
0,0,22,4
1,1,57,5
0,0,6,4
7,0.20000000000000018,66,4
6,6,64,5
5,5,85,5
1,1,16,5
1,0,40,3
3,3,30,5
0,0,5,5
1,1,40,5
2,0,66,2
3,3,50,5
2,2,55,5
2,0,13,4
4,0,25,3
0,0,18,2
2,2,56,5
9,2,90,4
1,1,2,5
2,2,41,5
3,3,49,5
0,0,10,4
3,0,43,1
2,0,34,4
0,0,3,5
1,1,34,5
0,0,45,5
2,2,11,5
0,0,36,2
2,0,14,3
1,1,21,5
1,1,30,5
1,0,9,3
1,1,12,5
1,1,12,5
1,1,36,5
2,2,27,5
1,1,14,5
0,0,1,3
4,4,128,5
2,0,16,1
1,0,35,2
0,0,16,3
0,0,21,5
0,0,25,1
0,0,8,3
3,0,38,4
6,0.20000000000000018,53,4
1,1,5,5
1,1,54,4
0,0,34,1
1,1,108,5
3,0,61,2
0,0,2,4
0,0,17,1
4,0,42,1
2,0,23,4
8,0,64,1
0,0,11,5
7,7,53,5
1,0,26,2
5,1,73,2
0,0,3,4
1,1,21,2
6,6,79,5
1,0,5,3
0,0,1,2
4,4,51,5
1,1,37,5
4,0,49,2
1,0,40,2
2,0,54,3
2,0,78,1
2,0,36,4
5,0,112,1
4,0,44,3
3,1.2,22,4
6,1,108,2
0,0,11,5
0,0,12,5
0,0,2,2
10,1.5999999999999996,99,4
20,20,315,5
4,0,42,1
6,0,79,1
5,0,29,3
8,1,83,1
5,0,62,3
0,0,0,4
0,0,7,5
6,0,106,1
0,0,6,5
5,0,46,2
6,1,113,4
1,1,2,5
2,2,7,5
2,0,39,2
2,0,17,1
0,0,51,4
4,4,63,5
2,0,45,1
0,0,8,5
2,2,11,5
2,2,39,2
4,0,49,2
1,1,41,5
1,1,17,5
1,0,18,3
10,1,156,2
0,0,62,5
4,4,159,5
0,0,1,1
0,0,2,5
1,0,13,2
0,0,7,5
7,7,125,5
0,0,1,5
2,1,5,3
3,3,39,5
0,0,22,1
1,1,24,5
0,0,10,4
2,1,35,4
2,0.19999999999999996,47,4
5,0,74,1
0,0,32,5
1,1,81,5
3,2.2,46,4
3,3,57,5
0,0,4,5
0,0,19,3
0,0,8,5
4,0,21,3
3,1,51,2
0,0,2,5
7,7,157,5
43,5,596,2
1,0,15,2
10,1.4000000000000004,79,4
3,3,93,5
1,0,18,2
4,1,34,1
4,4,58,5
2,0,4,4
5,0.20000000000000018,79,4
6,0,70,3
1,0,25,2
6,0,77,2
5,0,95,1
0,0,13,5
3,3,12,5
0,0,5,1
4,4,154,5
0,0,3,5
2,0,25,2
1,0,13,1
2,2,50,5
0,0,29,4
0,0,12,5
7,0,34,1
0,0,0,3
9,1.5999999999999996,160,4
1,1,18,5
5,0,28,4
6,0,79,2
0,0,6,5
3,3,29,5
1,1,48,5
1,1,15,3
4,0,36,1
2,0.19999999999999996,35,4
1,0,32,1
0,0,20,5
8,8,251,5
2,2,69,5
1,1,19,5
0,0,39,5
3,0,60,2
0,0,6,4
1,1,29,5
6,6,171,5
3,0,52,1
10,0,113,1
6,1,114,1
4,0,79,1
2,2,12,5
0,0,2,5
0,0,11,5
0,0,7,2
2,0,14,4
1,0,27,4
2,0,11,3
4,0.20000000000000018,75,4
3,3,20,5
3,1,44,1
4,0,32,1
6,0,74,2
0,0,4,5
0,0,6,2
1,1,15,4
2,2,10,5
2,0,20,2
2,0,76,2
1,0,18,4
0,0,1,5
4,4,194,5
2,2,42,5
2,0,41,4
1,1,44,5
2,2,19,5
6,0,81,2
1,1,13,3
1,0.19999999999999996,52,4
0,0,85,5
5,5,114,5
3,2,32,4
0,0,57,5
2,0,39,1
15,0,259,1
0,0,10,1
1,0,7,2
3,3,92,5
0,0,20,5
3,2,4,4
0,0,32,5
2,0,16,2
1,1,20,5
1,0.19999999999999996,48,4
0,0,0,5
2,2,54,5
0,0,11,3
0,0,10,5
1,1,7,5
5,0,51,3
2,1,14,3
0,0,4,2
1,0,12,4
1,1,13,5
0,0,24,2
1,0,6,4
1,0.19999999999999996,35,4
0,0,1,4
5,1,50,2
0,0,15,2
0,0,2,5
9,0,165,3
1,0,20,1
1,0,16,2
8,1,68,3
1,1,32,5
1,1,25,5
1,1,6,5
0,0,25,5
2,2,13,5
4,4,77,5
0,0,43,5
6,6,50,5
4,0,60,1
7,3,106,3
3,3,40,5
0,0,6,1
1,1,12,3
1,1,21,5
6,0,56,4
1,1,22,5
2,2,44,5
1,1,2,5
5,0,109,1
0,0,3,3
