scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,3.28295,0,3.28295,0,0,0,0,0.59445,0.3295,0,59%,3.3,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,1
isolation_manual_tracing_met_only,3.2288,1.4816,1.7472,22,35,1,113,0.33045,0.16215,0.45887016848364715,33%,1.8,46%,22 (1-110),630,320,160,0,4,0.95,0.53,0.6,1
isolation_manual_tracing_met_limit,3.22785,1.7858,1.44205,17,32,1,106,0.2902,0.12375,0.5532475176975387,29%,1.5,55%,17 (1-110),580,290,140,0,4,0.95,0.53,0.6,1
isolation_manual_tracing,3.2376,1.56965,1.66795,28,44,1,134,0.30595,0.15535,0.4848190017296763,31%,1.7,48%,28 (1-130),790,400,200,0,4,0.95,0.53,0.6,1
cell_phone,3.2516,1.1507,2.1009,5,14,0,57,0.40805,0.19485,0.35388731701316267,41%,2.1,35%,5 (0-57),250,130,63,0,4,0.95,0.53,0.6,1
cell_phone_met_limit,3.23335,1.4324,1.80095,4,12,0,46,0.37015,0.16005,0.4430080257318262,37%,1.8,44%,4 (0-46),220,110,54,0,4,0.95,0.53,0.6,1
