scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.95615,0,2.95615,0,0,0,0,0.56425,0.2931,0,56%,3,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.8
isolation_manual_tracing_met_only,2.96905,1.50125,1.4678,22,36,1,115,0.3032,0.12735,0.5056331149694346,30%,1.5,51%,22 (1-120),650,320,160,0,4,0.95,0.53,0.6,0.8
isolation_manual_tracing_met_limit,2.94635,1.7085,1.23785,17,32,1,105,0.2578,0.10055,0.5798700086547763,26%,1.2,58%,17 (1-100),580,290,140,0,4,0.95,0.53,0.6,0.8
isolation_manual_tracing,2.97525,1.59325,1.382,28,43,1,135,0.27345,0.12355,0.5355012183850096,27%,1.4,54%,28 (1-140),770,390,190,0,4,0.95,0.53,0.6,0.8
cell_phone,2.9607,1.15155,1.80915,5,14,0,56,0.376,0.16255,0.3889451818826629,38%,1.8,39%,5 (0-56),250,130,63,0,4,0.95,0.53,0.6,0.8
cell_phone_met_limit,2.94175,1.42555,1.5162,4,12,0,45,0.3279,0.12385,0.48459250446162994,33%,1.5,48%,4 (0-45),220,110,54,0,4,0.95,0.53,0.6,0.8
