V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
38,38,0,0,0,0,0,0,0,0,0,0,0,0
2.4518,2.4518,2.4404,2.4404,2.4404,2.4404,2.4404,2.4404,2.4404,2.4404,2.4404,2.4404,2.4404,2.4404
35.1131,35.1131,35.1131,35.1131,35.1131,35.1131,35.1131,35.1131,35.1131,35.1131,35.1131,35.1131,35.1131,35.1131
43.3307,43.3307,43.3307,43.3307,43.3307,43.3307,43.3307,43.3307,43.3307,43.3307,43.3307,43.3307,43.3307,43.3307
13.955,13.955,13.955,13.955,13.955,13.955,13.955,13.955,13.955,13.955,13.955,13.955,13.955,13.955
