V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
38,38,0,0,0,0,0,0,0,0,0,0,0,0
2.4101,2.4101,2.3987,2.3987,2.3987,2.3987,2.3987,2.3987,2.5343,2.5343,2.5343,2.5343,2.5343,2.5343
34.3198,34.3198,34.3198,34.3198,34.3198,34.3198,34.3198,34.3198,3.1815,3.1815,3.1815,3.1815,3.1815,3.1815
42.5799,42.5799,42.5799,42.5799,42.5799,42.5799,42.5799,42.5799,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678
13.7062,13.7062,13.7062,13.7062,13.7062,13.7062,13.7062,13.7062,2.5959,2.5959,2.5959,2.5959,2.5959,2.5959
