V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
38,38,0,0,0,0,0,0,0,0,0,0,0,0
2.4403,2.4403,2.576,2.576,2.576,2.576,2.576,2.576,2.576,2.576,2.576,2.576,2.576,2.576
36.3382,36.3382,3.1052,3.1052,3.1052,3.1052,3.1052,3.1052,3.1052,3.1052,3.1052,3.1052,3.1052,3.1052
43.6647,43.6647,3.2349,3.2349,3.2349,3.2349,3.2349,3.2349,3.2349,3.2349,3.2349,3.2349,3.2349,3.2349
15.3579,15.3579,2.5341,2.5341,2.5341,2.5341,2.5341,2.5341,2.5341,2.5341,2.5341,2.5341,2.5341,2.5341
