V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
38,38,0,0,0,0,0,0,0,0,0,0,0,0
2.4679,2.4679,2.4527,2.4527,2.4527,2.5967,2.5967,2.5967,2.5967,2.5967,2.5967,2.5967,2.5967,2.5967
36.2456,36.2456,36.2456,36.2456,36.2456,3.1737,3.1737,3.1737,3.1737,3.1737,3.1737,3.1737,3.1737,3.1737
44.1567,44.1567,44.1567,44.1567,44.1567,3.3075,3.3075,3.3075,3.3075,3.3075,3.3075,3.3075,3.3075,3.3075
14.2279,14.2279,14.2279,14.2279,14.2279,2.6213,2.6213,2.6213,2.6213,2.6213,2.6213,2.6213,2.6213,2.6213
