scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.57985,1.46045,1.1194,22,36,1,115,0.2455,0.0838,0.5660988041940422,25%,0.486,57%,22 (1-120),650,320,160,0,6,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.6014,1.62165,0.97975,19,33,1,107,0.21675,0.0638,0.6233758745290997,22%,0.422,62%,19 (1-110),590,300,150,0,6,0.95,0.53,0.6,0.5
cell_phone,2.563,1.15575,1.40725,5,14,0,58,0.3115,0.11305,0.45093640265314094,31%,0.615,45%,5 (0-58),250,130,63,0,6,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5275,1.26735,1.26015,5,13,0,48,0.289,0.09435,0.5014243323442136,29%,0.558,50%,5 (0-48),230,120,58,0,6,0.95,0.53,0.6,0.5
