scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.59405,1.69995,0.8941,22,36,1,115,0.19865,0.06155,0.6553266128255045,20%,0.308,66%,22 (1-120),650,320,160,0.5,56,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5984,1.70505,0.89335,21,35,1,115,0.19935,0.0609,0.6561922721674877,20%,0.307,66%,21 (1-120),630,320,160,0.5,56,0.95,0.53,0.6,0.5
cell_phone,2.60485,1.49515,1.1097,4,15,0,58,0.2467,0.08305,0.5739869858149222,25%,0.381,57%,4 (0-58),270,140,68,0.5,56,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.639,1.53135,1.10765,5,15,0,59,0.2499,0.08335,0.5802766199317924,25%,0.375,58%,5 (0-59),270,140,68,0.5,56,0.95,0.53,0.6,0.5
