scenario,basic,r_diff,r_eff,contacts,reduction_raw,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.445,1.331,1.114,35,0.5443762781186093,0.51,54 %,35,3150,1580,315,0,1,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.587,1.792,0.795,30,0.6926942404329339,0.34,69 %,30,2700,1350,270,0,1,0.95,0.53,0.6,0.5
cell_phone,2.352,1.326,1.026,11,0.5637755102040816,0.49,56 %,11,990,495,99,0,1,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.662,1.607,1.055,12,0.6036814425244177,0.44,60 %,12,1080,540,108,0,1,0.95,0.53,0.6,0.5
