scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
isolation_manual_tracing_met_only,2.54,1.902,0.638,23.5,38,3.95,129.65,0.17,0.02,0.7488188976377953,17%,0.16,75%,24 (4-130),170000,34000,6800,0.5,4,0.95,0.53,0.6,0.5,1
isolation_manual_tracing,2.19,1.6,0.59,25.5,35,1,127.25,0.11,0.01,0.730593607305936,11%,0.17,73%,26 (1-130),160000,32000,6300,0.5,4,0.95,0.53,0.6,0.5,1
cell_phone,2.46,1.46,1,3,13,0,58.5,0.27,0.07,0.5934959349593496,27%,0.26,59%,3 (0-58),59000,12000,2300,0.5,4,0.95,0.53,0.6,0.5,1
