scenario,basic,r_diff,r_eff,contacts,reduction_raw,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.509,0.869,1.64,6,0.34635312873654844,1.1,35 %,6,540,270,54,0,4,0.1,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.452,0.93,1.522,7.4,0.37928221859706357,1,38 %,7.4,666,333,66.6,0,4,0.1,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.56,1.211,1.349,6.9,0.473046875,0.86,47 %,6.9,621,311,62.1,0,4,0.1,0.53,0.6,0.5
isolation_manual_tracing,2.608,1.383,1.225,6.9,0.5302914110429447,0.77,53 %,6.9,621,311,62.1,0,4,0.1,0.53,0.6,0.5
