scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.5807,1.15545,1.42525,8,16,0,55,0.318,0.1164,0.4477273607935832,32%,0.787,45%,8 (0-55),290,140,72,0,4,0.5,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.57715,1.23545,1.3417,13,20,1,61,0.3022,0.10765,0.4793861436082495,30%,0.742,48%,13 (1-61),360,180,90,0,4,0.5,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5987,1.4745,1.1242,11,18,1,58,0.2551,0.07795,0.5673990841574633,26%,0.617,57%,11 (1-58),320,160,81,0,4,0.5,0.53,0.6,0.5
isolation_manual_tracing,2.57515,1.28645,1.2887,16,24,1,72,0.2873,0.10235,0.4995631322447236,29%,0.713,50%,16 (1-72),430,220,110,0,4,0.5,0.53,0.6,0.5
