scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,contactsR1,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
cell_phone,2.58832,1.697,0.89132,31,48,1,151,0.18656,0.06704,0.6556376336774432,19%,0.31,66%,31 (1-150),860000,220000,43000,2930000,0,4,0.95,1,0.7,0.5,0
cell_phone_met_limit,2.58748,1.83692,0.75056,24,40,1,127,0.16292,0.05112,0.7099262602995965,16%,0.26,71%,24 (1-130),720000,180000,36000,2440000,0,4,0.95,1,0.7,0.5,0
