scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
isolation_manual_tracing_met_only,2.31,1.208,1.102,19,33,2,79.5,0.23,0.05,0.5229437229437229,23%,0.53,52%,19 (2-80),150000,30000,5900,0.2,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing,2.74,1.884,0.856,28,48,1,175.2,0.13,0.04,0.6875912408759124,13%,0.34,69%,28 (1-180),220000,43000,8600,0.2,4,0.95,0.53,0.6,0.5,0
cell_phone,2.34,1.28,1.06,4,18,0,72.1,0.28,0.09,0.547008547008547,28%,0.5,55%,4 (0-72),81000,16000,3200,0.2,4,0.95,0.53,0.6,0.5,0
