scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
cell_phone,2.6456,1.004,1.6416,2,2.4,0,7,0.35565,0.13845,0.37949803447233144,36%,1,38%,2 (0-7),43,22,11,0,4,0.95,0,0.6,0.5
cell_phone_met_limit,2.59725,1.22345,1.3738,2,2.4,0,7,0.30435,0.1042,0.47105592453556644,30%,0.87,47%,2 (0-7),43,22,11,0,4,0.95,0,0.6,0.5
