scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
cell_phone,2.3735,1.39135,0.98215,30,47,1,146,0.2115,0.0761,0.5862018116705288,21%,0.41,59%,30 (1-150),210000,42000,8500,0,4,0.95,1,0.6,0.5,0
cell_phone_met_limit,2.4414,1.59565,0.84575,24,40,1,128,0.18425,0.05575,0.6535799131645776,18%,0.34,65%,24 (1-130),180000,36000,7200,0,4,0.95,1,0.6,0.5,0
