scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
cell_phone,2.66,1.13,1.53,3,5.9,0,24.05,0.38,0.11,0.424812030075188,38%,0.88,42%,3 (0-24),27000,5300,1100,0,4,0.95,0.2,0.6,0.5,0
cell_phone_met_limit,2.38,1.06,1.32,2,3.2,1,10.1,0.32,0.1,0.4453781512605042,32%,0.85,45%,2 (1-10),14000,2900,580,0,4,0.95,0.2,0.6,0.5,0
