scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
isolation_manual_tracing_met_only,2.4511,1.49734,0.95376,21,35,1,114,0.21655,0.0639,0.6108849088164496,22%,0.37,61%,21 (1-110),160000,32000,6300,0.5,4,0.95,0.53,0.6,0.5,0
isolation_manual_tracing,2.4536,1.63673,0.81687,29,45,1,144,0.1817,0.05645,0.6670728725138572,18%,0.32,67%,29 (1-140),200000,40000,8100,0.5,4,0.95,0.53,0.6,0.5,0
cell_phone,2.40405,1.34545,1.0586,4,17,0,69,0.23545,0.07725,0.5596597408539756,24%,0.42,56%,4 (0-69),76000,15000,3100,0.5,4,0.95,0.53,0.6,0.5,0
