scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.61495,1.70185,0.9131,22,36,1,116,0.2033,0.0632,0.6508155031644964,20%,0.32,65%,22 (1-120),650,320,160,0.5,2,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.56795,1.9592,0.60875,15,30,1,103,0.1283,0.03245,0.7629432037228139,13%,0.22,76%,15 (1-100),540,270,140,0.5,2,0.95,0.53,0.6,0.5
cell_phone,2.6045,1.49255,1.11195,4,14,0,56,0.2467,0.08325,0.5730658475715108,25%,0.39,57%,4 (0-56),250,130,63,0.5,2,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5752,1.77915,0.79605,4,11,0,44,0.1664,0.05,0.6908783783783784,17%,0.28,69%,4 (0-44),200,99,50,0.5,2,0.95,0.53,0.6,0.5
