scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,p_symptomaticA,prob_t_asymp,wfh_probC
isolation_manual_tracing_met_only,2.86,1.954,0.906,22.5,41,1.95,144.15,0.24,0.05,0.6832167832167833,24%,0.29,68%,22 (2-140),180000,37000,7400,0.5,18,0.95,0.53,0.6,0.5,0
isolation_manual_tracing_met_limit,3.11,2.18,0.93,24,34,2,94.2999999999999,0.2,0.07,0.7009646302250804,20%,0.27,70%,24 (2-94),150000,31000,6100,0.5,18,0.95,0.53,0.6,0.5,0
cell_phone,2.71,1.58,1.13,9.5,28,0.95,96.4,0.22,0.09,0.5830258302583027,22%,0.38,58%,9.5 (0.95-96),130000,25000,5000,0.5,18,0.95,0.53,0.6,0.5,0
cell_phone_met_limit,2.07,1.2,0.87,3.5,15,0,65.05,0.16,0.06,0.5797101449275361,16%,0.38,58%,3.5 (0-65),68000,14000,2700,0.5,18,0.95,0.53,0.6,0.5,0
